date,equipement,ville,CA
2017-01-01,ordinateur,Paris,6934.2599161690405
2017-01-02,ordinateur,Paris,15184.361779703791
2017-01-03,ordinateur,Paris,14418.674932916176
2017-01-04,ordinateur,Paris,7768.823468314429
2017-01-05,ordinateur,Paris,8627.40356456693
2017-01-06,ordinateur,Paris,7189.332572031114
2017-01-07,ordinateur,Paris,7263.9354529940665
2017-01-08,ordinateur,Paris,15104.579751144416
2017-01-09,ordinateur,Paris,9028.219075741177
2017-01-10,ordinateur,Paris,5834.74756582696
2017-01-11,ordinateur,Paris,6640.221422930181
2017-01-12,ordinateur,Paris,14244.856310866055
2017-01-13,ordinateur,Paris,9247.645580783339
2017-01-14,ordinateur,Paris,8631.325773539855
2017-01-15,ordinateur,Paris,7846.33787325014
2017-01-16,ordinateur,Paris,8829.213336539971
2017-01-17,ordinateur,Paris,12166.214718456875
2017-01-18,ordinateur,Paris,6866.154384196864
2017-01-19,ordinateur,Paris,9912.769254714589
2017-01-20,ordinateur,Paris,6425.474157992998
2017-01-21,ordinateur,Paris,6305.652999650616
2017-01-22,ordinateur,Paris,6091.439585531256
2017-01-23,ordinateur,Paris,12738.610221223846
2017-01-24,ordinateur,Paris,8212.725265721878
2017-01-25,ordinateur,Paris,11716.885574972319
2017-01-26,ordinateur,Paris,7450.236517370735
2017-01-27,ordinateur,Paris,6412.728749099806
2017-01-28,ordinateur,Paris,9438.94994335881
2017-01-29,ordinateur,Paris,11384.495569112496
2017-01-30,ordinateur,Paris,9845.974835377649
2017-01-31,ordinateur,Paris,9925.273979156707
2017-02-01,ordinateur,Paris,8069.859041216701
2017-02-02,ordinateur,Paris,8914.2278147506
2017-02-03,ordinateur,Paris,5083.660740269513
2017-02-04,ordinateur,Paris,11674.181877087414
2017-02-05,ordinateur,Paris,8998.316334998342
2017-02-06,ordinateur,Paris,5908.134696654635
2017-02-07,ordinateur,Paris,10074.759734388525
2017-02-08,ordinateur,Paris,10433.367873857453
2017-02-09,ordinateur,Paris,10526.982233055322
2017-02-10,ordinateur,Paris,6261.612554206854
2017-02-11,ordinateur,Paris,7131.294870638897
2017-02-12,ordinateur,Paris,9974.954485379958
2017-02-13,ordinateur,Paris,7310.522833945478
2017-02-14,ordinateur,Paris,13374.634289849713
2017-02-15,ordinateur,Paris,10005.136216923689
2017-02-16,ordinateur,Paris,5410.869582031922
2017-02-17,ordinateur,Paris,7897.374180966839
2017-02-18,ordinateur,Paris,6367.706749810607
2017-02-19,ordinateur,Paris,8075.867276268413
2017-02-20,ordinateur,Paris,12307.771600306332
2017-02-21,ordinateur,Paris,7612.539982460669
2017-02-22,ordinateur,Paris,8102.852308533404
2017-02-23,ordinateur,Paris,9553.58384109005
2017-02-24,ordinateur,Paris,8187.811063349655
2017-02-25,ordinateur,Paris,7812.059561023342
2017-02-26,ordinateur,Paris,6835.445646543669
2017-02-27,ordinateur,Paris,14986.817908032595
2017-02-28,ordinateur,Paris,11109.681137072303
2017-03-01,ordinateur,Paris,6161.804405573877
2017-03-02,ordinateur,Paris,7690.408927616477
2017-03-03,ordinateur,Paris,8374.465333528178
2017-03-04,ordinateur,Paris,7755.833842456994
2017-03-05,ordinateur,Paris,9332.185662533413
2017-03-06,ordinateur,Paris,4963.453891533141
2017-03-07,ordinateur,Paris,6987.435824957688
2017-03-08,ordinateur,Paris,9031.683201442054
