,DATE,EQUIP,TOWN,SALES,sr_last_year,sr_last_year_same_weekday,weekday,is weekend,is_bankholiday,dist_between_closest_bank_holiday,is_school_holiday
0,2017-01-01,ordinateur,Bordeaux,270.9416328025272,Nan,Nan,sunday,True,True,120 days 00:00:00.000000000,True
1,2017-01-02,ordinateur,Bordeaux,1894.6342782391073,Nan,Nan,monday,False,False,119 days 00:00:00.000000000,True
2,2017-01-03,ordinateur,Bordeaux,1963.7902657651,Nan,Nan,tuesday,False,False,118 days 00:00:00.000000000,False
3,2017-01-04,ordinateur,Bordeaux,1560.7720084240937,Nan,Nan,wednesday,False,False,117 days 00:00:00.000000000,False
4,2017-01-05,ordinateur,Bordeaux,1370.5755207947225,Nan,Nan,thursday,False,False,116 days 00:00:00.000000000,False
5,2017-01-06,ordinateur,Bordeaux,2206.0803204743065,Nan,Nan,friday,False,False,115 days 00:00:00.000000000,False
6,2017-01-07,ordinateur,Bordeaux,7924.645847324034,Nan,Nan,saturday,True,False,114 days 00:00:00.000000000,False
7,2017-01-08,ordinateur,Bordeaux,4032.900645774104,Nan,Nan,sunday,True,False,113 days 00:00:00.000000000,False
8,2017-01-09,ordinateur,Bordeaux,3025.0202788671722,Nan,Nan,monday,False,False,112 days 00:00:00.000000000,False
9,2017-01-10,ordinateur,Bordeaux,2011.9645689746826,Nan,Nan,tuesday,False,False,111 days 00:00:00.000000000,False
10,2017-01-11,ordinateur,Bordeaux,354.41451561659034,Nan,Nan,wednesday,False,False,110 days 00:00:00.000000000,False
11,2017-01-12,ordinateur,Bordeaux,4140.634210785773,Nan,Nan,thursday,False,False,109 days 00:00:00.000000000,False
12,2017-01-13,ordinateur,Bordeaux,5678.293334680871,Nan,Nan,friday,False,False,108 days 00:00:00.000000000,False
13,2017-01-14,ordinateur,Bordeaux,2469.4824001851125,Nan,Nan,saturday,True,False,107 days 00:00:00.000000000,False
14,2017-01-15,ordinateur,Bordeaux,3847.8550319210553,Nan,Nan,sunday,True,False,106 days 00:00:00.000000000,False
15,2017-01-16,ordinateur,Bordeaux,203.21227276360275,Nan,Nan,monday,False,False,105 days 00:00:00.000000000,False
16,2017-01-17,ordinateur,Bordeaux,4578.776815636358,Nan,Nan,tuesday,False,False,104 days 00:00:00.000000000,False
17,2017-01-18,ordinateur,Bordeaux,1738.0283053696332,Nan,Nan,wednesday,False,False,103 days 00:00:00.000000000,False
18,2017-01-19,ordinateur,Bordeaux,4021.3802768287956,Nan,Nan,thursday,False,False,102 days 00:00:00.000000000,False
19,2017-01-20,ordinateur,Bordeaux,5239.957035963896,Nan,Nan,friday,False,False,101 days 00:00:00.000000000,False
20,2017-01-21,ordinateur,Bordeaux,6626.249477167466,Nan,Nan,saturday,True,False,100 days 00:00:00.000000000,False
21,2017-01-22,ordinateur,Bordeaux,1657.1876396528314,Nan,Nan,sunday,True,False,99 days 00:00:00.000000000,False
22,2017-01-23,ordinateur,Bordeaux,3613.079312648881,Nan,Nan,monday,False,False,98 days 00:00:00.000000000,False
23,2017-01-24,ordinateur,Bordeaux,4056.1323801602553,Nan,Nan,tuesday,False,False,97 days 00:00:00.000000000,False
24,2017-01-25,ordinateur,Bordeaux,1822.0515781332638,Nan,Nan,wednesday,False,False,96 days 00:00:00.000000000,False
25,2017-01-26,ordinateur,Bordeaux,1182.1779506614805,Nan,Nan,thursday,False,False,95 days 00:00:00.000000000,False
26,2017-01-27,ordinateur,Bordeaux,3139.535612368926,Nan,Nan,friday,False,False,94 days 00:00:00.000000000,False
27,2017-01-28,ordinateur,Bordeaux,6360.261827936852,Nan,Nan,saturday,True,False,93 days 00:00:00.000000000,False
28,2017-01-29,ordinateur,Bordeaux,5738.987520989812,Nan,Nan,sunday,True,False,92 days 00:00:00.000000000,False
29,2017-01-30,ordinateur,Bordeaux,6798.3995665392395,Nan,Nan,monday,False,False,91 days 00:00:00.000000000,False
30,2017-01-31,ordinateur,Bordeaux,4376.756104357259,Nan,Nan,tuesday,False,False,90 days 00:00:00.000000000,False
31,2017-02-01,ordinateur,Bordeaux,8196.240519365665,Nan,Nan,wednesday,False,False,89 days 00:00:00.000000000,False
32,2017-02-02,ordinateur,Bordeaux,8591.87678060228,Nan,Nan,thursday,False,False,88 days 00:00:00.000000000,False
